lat_lon_tuple|agg_road_bumpiness|total_road_readings|seg_dist
((41.886631, -87.65975999999999), (41.886631, -87.65969799999999))|0.172952724366|1|5.14599621548
((41.94368, -87.697937), (41.943737, -87.697937))|0.166559912245|1|6.33102639539
((41.928684000000004, -87.653725), (41.928711, -87.653725))|0.317975096462|1|2.99889928459
((41.886524, -87.66613000000001), (41.886528000000006, -87.666046))|0.205133308232|1|6.98614734273
((41.88776, -87.62953900000001), (41.887798, -87.62953900000001))|0.231636385588|1|4.22064255038
((41.965092, -87.679321), (41.965092, -87.679298))|0.500001677239|1|1.90666114306
((41.897987, -87.629807), (41.89819, -87.629814))|0.103696393676|1|22.5546395931
((41.886790999999995, -87.675552), (41.886790999999995, -87.67546800000001))|0.167501387411|1|6.97197747643
((41.896347, -87.650482), (41.896351, -87.650398))|0.168248390756|1|6.98508150535
((41.939037, -87.697807), (41.939064, -87.697807))|0.239219992019|1|2.99890477189
((41.937119, -87.712448), (41.937145, -87.712448))|0.458987362029|1|2.8878332456
((41.902412, -87.62831899999999), (41.902446999999995, -87.628342))|0.199456592217|1|4.3306697852
((41.903843, -87.648094), (41.903858, -87.648094))|0.60100429139|1|1.666047843
((41.928490000000004, -87.653717), (41.928515999999995, -87.653717))|0.340909006626|1|2.88782884167
((41.887978000000004, -87.647537), (41.888016, -87.647537))|0.224791781767|1|4.22064271235
((41.879456, -87.62782299999999), (41.879456, -87.627769))|0.223512746531|1|4.482498135
((41.91711, -87.66011), (41.91711, -87.660042))|0.208157199281|1|5.64131256644
((41.900528, -87.634178), (41.900528, -87.634125))|0.447232809443|2|4.39804334819
((41.918968, -87.637695), (41.919018, -87.637703))|0.173231170743|1|5.59302223933
((41.886829, -87.673203), (41.886829, -87.67313399999999))|0.182997891883|1|5.72697810666
((41.896324, -87.651733), (41.896423, -87.65184))|0.199038012021|1|14.1335743466
((41.889099, -87.640541), (41.889099, -87.64048000000001))|0.211768281656|1|5.06280142018
((41.886826, -87.673286), (41.886829, -87.67321))|0.144398336295|1|6.31677050239
((41.915222, -87.634819), (41.915279, -87.634819))|0.167209354942|1|6.33099455663
((41.913631, -87.634789), (41.913681, -87.634789))|0.190932788055|1|5.55350243234
((41.886784000000006, -87.676109), (41.886784000000006, -87.676041))|0.186784657426|1|5.64398238349
((41.896805, -87.634209), (41.896881, -87.634209))|0.12663703281|1|8.4412986198
((41.88562, -87.650085), (41.885624, -87.649971))|0.138819741646|1|9.47256631425
((41.886776, -87.67660500000001), (41.88678, -87.676575))|0.268841700714|1|2.52931719583
((41.894276, -87.647697), (41.894352000000005, -87.647697))|0.135935857483|1|8.44129484908
((41.886616, -87.661018), (41.886616, -87.660957))|0.302683726636|1|5.06299746099
((41.937447, -87.713165), (41.937447, -87.71309699999999))|0.228754969779|1|5.63952126444
((41.888016, -87.647537), (41.888065000000005, -87.647537))|0.195171928806|1|5.44240775099
((41.886681, -87.667015), (41.886798999999996, -87.667015))|0.0833903972397|1|13.106203408
((41.890007000000004, -87.62958499999999), (41.890021999999995, -87.62958499999999))|0.666424092604|1|1.6660437691
((41.892609, -87.626755), (41.892672999999995, -87.626755))|0.155996719681|1|7.10845671681
((41.937431, -87.714722), (41.937431, -87.714691))|0.552353048957|1|2.570958865
((41.897415, -87.647797), (41.897465000000004, -87.647797))|0.225890983107|1|5.55348652009
((41.893009, -87.634102), (41.8932, -87.634109))|0.14410444566|1|21.2222551229
((41.886944, -87.633949), (41.886951, -87.633965))|0.184553031226|1|1.53884681654
((41.886681, -87.682899), (41.886681, -87.682838))|0.242048194393|1|5.06299232919
((41.921535, -87.648643), (41.921608, -87.648643))|0.150925571169|1|8.10812489287
((41.892567, -87.629646), (41.892601, -87.629646))|0.313610634071|1|3.77636759383
((41.900528, -87.63427), (41.900528, -87.634232))|0.434009869188|1|3.1533140985
((41.894016, -87.64769), (41.8941, -87.647697))|0.121818612729|1|9.34792043741
((41.870232, -87.6259), (41.870304, -87.6259))|0.133843808717|1|7.99698219464
((41.911762, -87.679626), (41.911792999999996, -87.679672))|0.212223544129|1|5.1401451329
((41.886776, -87.649345), (41.886776, -87.64926899999999))|0.197417919651|1|6.30798109858
((41.884479999999996, -87.629288), (41.884479999999996, -87.629265))|0.427807482137|1|1.90906262633
((41.910263, -87.677246), (41.91029, -87.677269))|0.321815095195|1|3.55456417053
((41.938007, -87.714905), (41.93803, -87.714905))|0.839491520868|1|2.55462211685
((41.886795, -87.64475999999999), (41.886795, -87.64469100000001))|0.163481789554|1|5.72698114068
((41.91832, -87.638649), (41.91832, -87.638626))|0.614908321748|1|1.90805497337
((41.875927000000004, -87.62602199999999), (41.875954, -87.62602199999999))|0.389667328457|1|2.9988713288
((41.944508, -87.69796), (41.944569, -87.697968))|0.206030704724|1|6.8077106181
((41.887684, -87.62953900000001), (41.88776, -87.62953900000001))|0.17243306266|1|8.44128501481
((41.889088, -87.639473), (41.889088, -87.639374))|0.145839149183|1|8.21667912516
((41.886578, -87.693054), (41.886578, -87.693001))|0.236185978266|1|4.39900040117
((41.911625, -87.679405), (41.911648, -87.679443))|0.244001546391|1|4.05782904083
((41.900532, -87.63382), (41.900535999999995, -87.63376600000001))|0.289089102455|1|4.5029954413
((41.882771000000005, -87.629456), (41.882832, -87.629456))|0.195473222719|1|6.7752360298
((41.898734999999995, -87.62982199999999), (41.898975, -87.629829))|0.566964626815|1|26.6630704125
((41.886803, -87.641228), (41.886803, -87.641083))|0.114700919612|1|12.0349588701
((41.896469, -87.643753), (41.896469, -87.64373))|0.452711085324|1|1.90870570669
((41.8992, -87.628288), (41.899223, -87.628288))|0.337228096839|2|2.5546045986
((41.889107, -87.63758100000001), (41.889107, -87.637505))|0.16972610715|1|6.30775180393
((41.96492, -87.685722), (41.964923999999996, -87.685661))|0.253980874666|1|5.07628996062
((41.896599, -87.63317099999999), (41.896599, -87.63310200000001))|0.200983854435|1|5.72610550698
((41.917522, -87.658203), (41.917568, -87.658203))|0.229879324116|1|5.10922575108
((41.920719, -87.648605), (41.920788, -87.648613))|0.159501386294|1|7.69252333063
((41.930977, -87.648949), (41.931053000000006, -87.64895600000001))|0.22254229162|1|8.46129281682
((41.935444, -87.712395), (41.935524, -87.712395))|0.156048748965|1|8.88563816871
((41.893257, -87.647675), (41.893349, -87.647675))|0.165385454825|1|10.2184077263
((41.895496, -87.647713), (41.895557000000004, -87.647713))|0.190658460742|1|6.77525126386
((41.90316, -87.6297), (41.90316, -87.629631))|0.389734352732|1|5.72551942537
((41.936592, -87.64915500000001), (41.936657000000004, -87.649162))|0.197329811477|1|7.24288651956
((41.961288, -87.69272600000001), (41.961288, -87.69265))|0.163122181911|1|6.30064634666
((41.902, -87.64801), (41.902073, -87.64801))|0.142924879078|1|8.10809690459
((41.899066999999995, -87.628288), (41.899143, -87.62796))|0.363795288105|1|28.4975846194
((41.873119, -87.625961), (41.873173, -87.625961))|0.22541691594|1|5.99773969644
